"cells","host_num_fields","num_surveys_in_cell","problem_bool"
917256,15.7385540008545,1,FALSE
868787,18.1292209625244,1,FALSE
1000098,33.5094757080078,1,FALSE
668227,1,1,FALSE
1009843,5.40475368499756,1,FALSE
1079628,217.124786376953,1,FALSE
686099,1,1,FALSE
1094239,541.282897949219,1,FALSE
1100738,128.440017700195,1,FALSE
720198,1,1,FALSE
1089385,810.395324707031,1,FALSE
1097518,314.983856201172,1,FALSE
1108895,238.531463623047,1,FALSE
838656,2.81961417198181,1,FALSE
1154353,36.6971473693848,1,FALSE
1170590,39.755241394043,1,FALSE
895422,28.8819942474365,1,FALSE
875302,2.19144439697266,1,FALSE
1193426,48.9295310974121,1,FALSE
906772,1,1,FALSE
1211177,562.689575195312,1,FALSE
922995,1,1,FALSE
1222546,183.485733032227,1,FALSE
932732,1,1,FALSE
1220931,1000,1,FALSE
1212827,984.706787109375,1,FALSE
1199855,330.274322509766,1,FALSE
960300,87.1162567138672,1,FALSE
1185255,128.440017700195,1,FALSE
955418,247.830718994141,1,FALSE
953786,108.144317626953,2,FALSE
1182020,293.577178955078,1,FALSE
1175538,440.365783691406,1,FALSE
948906,147.196426391602,1,FALSE
944034,49.5661468505859,2,FALSE
1045802,30.4188404083252,1,FALSE
878562,55.7822189331055,1,FALSE
932661,967.290832519531,2,FALSE
1050661,3.30639553070068,1,FALSE
1049026,52.2410507202148,1,FALSE
944014,67.5901947021484,1,FALSE
958618,1000,2,FALSE
1057131,19.8383731842041,1,FALSE
1063618,80.6760559082031,1,FALSE
974837,199.766586303711,1,FALSE
992686,417.557220458984,2,FALSE
1070097,121.01407623291,1,FALSE
1057092,3.71944785118103,1,FALSE
1010537,1000,1,FALSE
1026765,90.1202621459961,2,FALSE
1060332,2.70186305046082,1,FALSE
1039742,85.6142501831055,2,FALSE
1078175,30.5809555053711,1,FALSE
1092781,740.059143066406,1,FALSE
1051097,306.408905029297,1,FALSE
1067322,899.700622558594,2,FALSE
1109005,1000,1,FALSE
904535,36.6568870544434,1,FALSE
1126857,440.365783691406,1,FALSE
1068943,904.206665039062,1,FALSE
292375,13.4017887115479,2,FALSE
1141461,259.938140869141,1,FALSE
300483,4.40344476699829,2,FALSE
1128984,94.6262741088867,2,FALSE
1157690,467.888641357422,1,FALSE
329669,13.5932426452637,2,FALSE
1146839,16.5220489501953,2,FALSE
1208000,397.552429199219,1,FALSE
1180927,105.14030456543,2,FALSE
1219353,278.286712646484,1,FALSE
1230712,1000,1,FALSE
1182554,54.0721588134766,2,FALSE
1261561,1000,1,FALSE
397764,197.389205932617,2,FALSE
1254975,721.688842773438,1,FALSE
427002,17.805233001709,2,FALSE
973213,9.0120267868042,2,FALSE
1246854,152.558120727539,1,FALSE
431886,11.487247467041,2,FALSE
1229002,129.78825378418,1,FALSE
963041,275.092102050781,1,FALSE
459500,66.6260375976562,2,FALSE
986176,31.5420932769775,2,FALSE
1237106,81.9715347290039,1,FALSE
513046,2.48890352249146,2,FALSE
991036,1000,2,FALSE
1232229,1,1,FALSE
542238,923.957641601562,2,FALSE
1253324,1000,1,FALSE
478990,4.40344476699829,2,FALSE
1000760,12.0160350799561,4,FALSE
1271175,646.664306640625,1,FALSE
456281,798.172241210938,2,FALSE
1284151,368.871887207031,1,FALSE
418951,592.550537109375,2,FALSE
1300377,163.943069458008,1,FALSE
1042927,1000,2,FALSE
1314988,473.61328125,1,FALSE
1310127,423.519592285156,1,FALSE
1060769,1000,2,FALSE
1300399,405.303680419922,1,FALSE
1076986,85.6142501831055,2,FALSE
1290627,40.985767364502,1,FALSE
980913,131.594543457031,1,FALSE
1274395,337.762298583984,1,FALSE
1099696,1000,2,FALSE
1254913,1000,1,FALSE
1106170,1000,2,FALSE
1238679,1000,1,FALSE
1219202,1000,1,FALSE
1209472,12.5097150802612,1,FALSE
1180775,90.1202621459961,2,FALSE
1222430,1000,1,FALSE
1235410,992.437377929688,1,FALSE
1245143,1000,1,FALSE
1245134,356.526885986328,1,FALSE
1219166,52.1238098144531,1,FALSE
984173,151.432922363281,1,FALSE
1207802,587.956604003906,1,FALSE
1189945,1000,1,FALSE
1175348,145.946670532227,1,FALSE
1178603,1000,1,FALSE
1186724,723.478515625,1,FALSE
1183489,143.861724853516,1,FALSE
1745246,255.121978759766,1,FALSE
1164011,1000,1,FALSE
1737135,1000,1,FALSE
1155884,1,1,FALSE
1725773,403.812683105469,1,FALSE
1151005,573.361938476562,1,FALSE
